date,open,high,low,close,volume,amount
2026-07-02,7495.1401,7540.75,7427.5498,7483.2402,3414978865,0
2026-07-06,7506.96,7551.3101,7500.9702,7537.4302,3007566426,0
2026-07-07,7516.6299,7536.0601,7478.6299,7503.8501,2991356711,0
2026-07-08,7476.54,7488.5098,7421.8198,7482.71,2874621087,0
2026-07-09,7491.6001,7546.8901,7481.73,7543.6401,2781342171,0
2026-07-10,7547.6401,7579.9302,7508.1602,7575.3901,2353229265,0
2026-07-13,7547.5298,7565.3701,7506.4102,7515.3398,2713007595,0
2026-07-14,7536.7002,7557.4399,7513.23,7543.5898,2804670827,0
2026-07-15,7571.7202,7581.5,7526.9502,7572.3999,3094327633,0
2026-07-16,7558.7998,7570.7402,7504.02,7533.77,3158339169,0
2026-07-17,7447.52,7498.4702,7431.2598,7457.6899,3397503316,0
2026-07-20,7489.1802,7513.23,7440.5298,7443.2798,2726531038,0
2026-07-21,7489.9502,7515.3101,7467.8599,7509.2002,2834863295,0
2026-07-22,7497.4702,7525.9399,7485.8501,7498.96,2989299701,0
2026-07-23,7418.29,7450.1201,7376.0,7408.2998,3325092926,0
